Title,Date
"Aggretsuko: Season 3: An Impenetrable Wall","2020-09-09"
"Aggretsuko: Season 3: Crossroads","2020-09-09"
"Aggretsuko: Season 3: An Urchin in the Desert","2020-09-09"
"Aggretsuko: Season 3: Winds of Change","2020-09-09"
"BEASTARS: Season 1: Give it Your All","2020-09-09"
"BEASTARS: Season 1: A Wolf is Born","2020-09-09"
"BEASTARS: Season 1: The Academy’s Top Dogs","2020-09-09"
"BEASTARS: Season 1: The Moon and the Beast","2020-09-09"
"Aggretsuko: Season 3: A Sheltered Life","2020-09-08"
"Rick and Morty: Season 4: Edge of Tomorty: Rick Die Rickpeat","2020-09-07"
"When They Cry: Cotton Drifting: Chapter Four - Wish","2020-09-06"
"When They Cry: Cotton Drifting: Chapter Three - Lies","2020-09-06"
"When They Cry: Cotton Drifting: Chapter Two - Takano","2020-09-04"
"When They Cry: Cotton Drifting: Chapter One - Jealousy","2020-09-04"
"When They Cry: Spirited Away by the Demon: Chapter Four - Disturbance","2020-09-04"
"When They Cry: Spirited Away by the Demon: Chapter Three - Suspicion","2020-09-04"
"When They Cry: Spirited Away by the Demon: Chapter One - The Beginning","2020-09-04"
"When They Cry: Spirited Away by the Demon: Chapter Two - The Secret","2020-09-04"
"Aggretsuko: Season 3: Deep in the Hole","2020-08-31"
"Joker","2020-08-31"
"Aggretsuko: Season 3: The Blessings of Life","2020-08-28"
"Aggretsuko: Season 1: A Good, Hard-working Girl","2020-08-27"
"Terrace House: Tokyo 2019-2020: Part 1: I Want to Be a Hero","2020-08-18"
"Terrace House: Tokyo 2019-2020: Part 1: Dreamed of Her","2020-08-17"
"Terrace House: Tokyo 2019-2020: Part 1: Tempura Incident","2020-08-02"
"Terrace House: Tokyo 2019-2020: Part 1: We're Back in Tokyo","2020-08-02"
"Gone Girl","2020-07-31"
"Redemption","2020-07-31"
"365 Days","2020-07-18"
"JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: Dio The Invader","2020-07-15"
"Switched: Season 1: Suicide","2020-07-12"
"Switched: Season 1: Confession","2020-07-12"
"Switched: Season 1: Betrayal","2020-07-12"
"One-Punch Man: Season 1: The Ultimate Mentor","2020-07-08"
"Pokémon The Series: Indigo League: Season 1: Pokémon - I Choose You!","2020-07-08"
"Violet Evergarden: Season 1: Episode 13","2020-07-08"
"Violet Evergarden: Season 1: Episode 12","2020-07-08"
"Violet Evergarden: Season 1: Episode 11","2020-07-08"
"Violet Evergarden: Season 1: Episode 10","2020-07-08"
"Violet Evergarden: Season 1: Episode 9","2020-07-08"
"Violet Evergarden: Season 1: Episode 8","2020-07-08"
"Violet Evergarden: Season 1: Episode 7","2020-07-08"
"Violet Evergarden: Season 1: Episode 6","2020-07-08"
"Megamind","2020-07-07"
"Violet Evergarden: Season 1: Episode 5","2020-07-06"
"Violet Evergarden: Season 1: Episode 4","2020-07-06"
